Nicolas Cage,https://www.imdb.com/name/nm0000115/?ref_=fn_al_nm_1
Sanjay Dutt,https://www.imdb.com/name/nm0004569/?ref_=fn_al_nm_1
Samuel L. Jackson,https://www.imdb.com/name/nm0000168/?ref_=fn_al_nm_1
Robert De Niro,https://www.imdb.com/name/nm0000134/?ref_=fn_al_nm_1
Bruce Willis,https://www.imdb.com/name/nm0000246/?ref_=fn_al_nm_1
Shah Rukh Khan,https://www.imdb.com/name/nm0451321/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=af309ffd-17ff-47c2-8455-ab8c863d3d5a&pf_rd_r=9DQ7RSKWFXYDXMEZEDN5&pf_rd_s=center-4&pf_rd_t=15011&pf_rd_i=nm0451321&ref_=nm_india_srk_lk1
Julianne Moore,https://www.imdb.com/name/nm0000194/?ref_=fn_al_nm_1
Morgan Freeman,https://www.imdb.com/name/nm0000151/?ref_=fn_al_nm_1
Ewan McGregor,https://www.imdb.com/name/nm0000191/?ref_=fn_al_nm_1
Akshay Kumar,https://www.imdb.com/name/nm0474774/?ref_=fn_al_nm_1
John Cusack,https://www.imdb.com/name/nm0000131/?ref_=fn_al_nm_1
Anthony Hopkins,https://www.imdb.com/name/nm0000164/?ref_=fn_al_nm_1
Liam Neeson,https://www.imdb.com/name/nm0000553/?ref_=fn_al_nm_1
Johnny Depp,https://www.imdb.com/name/nm0000136/?ref_=fn_al_nm_1
Nicole Kidman,https://www.imdb.com/name/nm0000173/?ref_=fn_al_nm_1
Salman Khan,https://www.imdb.com/name/nm0006795/?ref_=fn_al_nm_1
Willem Dafoe,https://www.imdb.com/name/nm0000353/?ref_=fn_al_nm_1
Ethan Hawke,https://www.imdb.com/name/nm0000160/?ref_=fn_al_nm_1
John Goodman,https://www.imdb.com/name/nm0000422/?ref_=fn_al_nm_1
Matt Damon,https://www.imdb.com/name/nm0000354/?ref_=fn_al_nm_1
Amitabh Bachchan,https://www.imdb.com/name/nm0000821/?ref_=fn_al_nm_1
Antonio Banderas,https://www.imdb.com/name/nm0000104/?ref_=fn_al_nm_1
Woody Harrelson,https://www.imdb.com/name/nm0000437/?ref_=fn_al_nm_1
James Franco,https://www.imdb.com/name/nm0290556/?ref_=fn_al_nm_1
Jackie Chan,https://www.imdb.com/name/nm0000329/?ref_=fn_al_nm_1
Ajay Devgn,https://www.imdb.com/name/nm0222426/?ref_=fn_al_nm_1
Denzel Washington,https://www.imdb.com/name/nm0000243/?ref_=fn_al_nm_1
John Travolta,https://www.imdb.com/name/nm0000237/?ref_=fn_al_nm_1
Keanu Reeves,https://www.imdb.com/name/nm0000206/?ref_=fn_al_nm_1
Ed Harris,https://www.imdb.com/name/nm0000438/?ref_=fn_al_nm_1
Owen Wilson,https://www.imdb.com/name/nm0005562/?ref_=fn_al_nm_1
Russell Crowe,https://www.imdb.com/name/nm0000128/?ref_=fn_al_nm_1
Mark Wahlberg,https://www.imdb.com/name/nm0000242/?ref_=fn_al_nm_1
Dennis Quaid,https://www.imdb.com/name/nm0000598/?ref_=fn_al_nm_1
Brad Pitt,https://www.imdb.com/name/nm0000093/?ref_=fn_al_nm_1
Julia Roberts,https://www.imdb.com/name/nm0000210/?ref_=fn_al_nm_1
Penélope Cruz,https://www.imdb.com/name/nm0004851/?ref_=fn_al_nm_1
Pierce Brosnan,https://www.imdb.com/name/nm0000112/?ref_=fn_al_nm_1
Colin Firth,https://www.imdb.com/name/nm0000147/?ref_=fn_al_nm_1
Robin Williams,https://www.imdb.com/name/nm0000245/?ref_=fn_al_nm_1
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/?ref_=fn_al_nm_1
Tom Hanks,https://www.imdb.com/name/nm0000158/?ref_=fn_al_nm_1
Jude Law,https://www.imdb.com/name/nm0000179/?ref_=fn_al_nm_1
Forest Whitaker,https://www.imdb.com/name/nm0001845/?ref_=fn_al_nm_1
Adam Sandler,https://www.imdb.com/name/nm0001191/?ref_=fn_al_nm_1
Ben Affleck,https://www.imdb.com/name/nm0000255/?ref_=fn_al_nm_1
Ben Stiller,https://www.imdb.com/name/nm0001774/?ref_=fn_al_nm_1
Brendan Fraser,https://www.imdb.com/name/nm0000409/?ref_=fn_al_nm_1
Harvey Keitel,https://www.imdb.com/name/nm0000172/?ref_=fn_al_nm_1
