Actors,Counts
Manisha Koirala,19
Urmila Matondkar,19
James Marsden,19
Kate Hudson,19
Anna Faris,19
John C. Reilly,19
Emmanuelle Béart,19
Robin Wright,19
Rose Byrne,19
Malcolm McDowell,19
Seann William Scott,19
Josh Hartnett,19
Marion Cotillard,19
Chris Pine,19
Joseph Fiennes,18
William H. Macy,18
Christina Applegate,18
Chloë Grace Moretz,18
Robert Carlyle,18
Ryan Phillippe,18
Jonah Hill,18
Maggie Cheung,18
Michelle Monaghan,18
Mads Mikkelsen,18
Amrish Puri,18
Jamie Bell,18
Kate Bosworth,18
John Hurt,18
Naseeruddin Shah,18
Evan Rachel Wood,18
Monica Bellucci,18
Daniel Radcliffe,18
Kajol,18
Tom Berenger,18
Steve Buscemi,18
Jason Bateman,17
Jessica Lange,17
Patrick Stewart,17
Donnie Yen,17
Rene Russo,17
Daniel Brühl,17
Irrfan Khan,17
Jodie Foster,17
Dustin Hoffman,17
Matthew Modine,17
Emma Roberts,17
James Caan,17
Anjelica Huston,17
Ian McKellen,17
Steve Coogan,17
Vera Farmiga,17
Jim Broadbent,17
Kim Basinger,17
Judi Dench,17
Lance Henriksen,17
Ellen Page,17
Josh Hutcherson,17
Josh Brolin,17
Seth Rogen,17
Elisabeth Shue,17
Idris Elba,17
Giovanni Ribisi,17
Mary Steenburgen,17
Benicio Del Toro,17
Bill Nighy,17
Zac Efron,17
Michael Shannon,17
Andy Lau,17
Li Gong,17
Steven Seagal,17
Denis Leary,17
Paresh Rawal,17
Anthony LaPaglia,17
Emile Hirsch,17
Stephen Baldwin,17
Brittany Murphy,17
Samantha Morton,17
Emma Stone,16
Virginia Madsen,16
Mohanlal,16
Kristen Wiig,16
Kamal Haasan,16
Woody Allen,16
Ving Rhames,16
Tabu,16
Ashton Kutcher,16
Asia Argento,16
Carla Gugino,16
Kareena Kapoor,16
Christopher Lloyd,16
Ellen Barkin,16
Chris Rock,16
Rosamund Pike,16
Billy Connolly,16
Katherine Heigl,16
Hrithik Roshan,16
Robert Pattinson,16
Robert Redford,16
Carrie-Anne Moss,16
Rebecca Hall,16
Shirley MacLaine,16
Tobey Maguire,16
Sam Shepard,16
Casey Affleck,16
Neve Campbell,16
