USA,Meet the Applegates (1990)
USA,Ski Patrol (1990)
Norway,Shipwrecked (1990)
USA,Shakma (1990)
USA,Stella (1990)
USA,Alienator (1990)
France,Vincent & Theo (1990)
USA,Nudity Required (1990)
USA,Men Don't Leave (1990)
USA,A Gnome Named Gnorm (1990)
USA,Caged Fury (1990)
USA,Betsy's Wedding (1990)
Italy,A Cat in the Brain (1990)
France,My Father's Glory (1990)
Italy,Everybody's Fine (1990)
USA,Mountains of the Moon (1990)
USA,The Fourth War (1990)
USA,The Willies (1990)
Japan,Dragon Ball Z: The World's Strongest (1990)
USA,Funny About Love (1990)
USA,Loose Cannons (1990)
USA,Across the Tracks (1990)
USA,Def by Temptation (1990)
USA,The Return of Superfly (1990)
Hong Kong,Die xue jie tou (1990)
Poland,Korczak (1990)
USA,Lambada (1990)
Japan,Boiling Point (1990)
Finland,I Hired a Contract Killer (1990)
USA,Love at Large (1990)
Hong Kong,The King of the Kickboxers (1990)
Canada,"Abraxas, Guardian of the Universe (1990)"
USA,The Last of the Finest (1990)
USA,Blood Games (1990)
USA,Sibling Rivalry (1990)
USA,Sorority House Massacre II (1990)
West Germany,Der Todesking (1990)
USA,Graffiti Bridge (1990)
USA,Gate 2: The Trespassers (1990)
UK,Mr. & Mrs. Bridge (1990)
USA,Instant Karma (1990)
USA,Almost an Angel (1990)
USA,Guns (1990)
USA,Rockula (1990)
Italy,La voce della luna (1990)
USA,Circuitry Man (1990)
USA,The Long Walk Home (1990)
France,Tatie Danielle (1990)
USA,Streets (1990)
USA,Come See the Paradise (1990)
USA,The Dark Side of the Moon (1990)
USA,The Invisible Maniac (1990)
France,May Fools (1990)
West Germany,Der Skipper (1990)
USA,A Shock to the System (1990)
USA,Too Much Sun (1990)
USA,Coupe de Ville (1990)
USA,The Spirit of '76 (1990)
USA,Night Eyes (1990)
UK,Crossing the Line (1990)
India,Agneepath (1990)
France,Les 1001 nuits (1990)
UK,Bullseye! (1990)
France,My Mother's Castle (1990)
Japan,Sgt. Kabukiman N.Y.P.D. (1990)
USA,Tune in Tomorrow... (1990)
USA,China O'Brien (1990)
USA,The Suckling (1990)
Italy,Metamorphosis (1990)
France,Jours tranquilles à Clichy (1990)
USA,Mindwalk (1990)
India,Hum Se Na Takrana (1990)
USA,Soultaker (1990)
India,Izzatdaar (1990)
Australia,The Shrimp on the Barbie (1990)
USA,Downtown (1990)
USA,Electra (1990)
Indonesia,Titisan Dewi Ular (1990)
USA,Dune Warriors (1990)
Canada,The Nutcracker Prince (1990)
USA,Hired to Kill (1990)
USA,The Haunting of Morella (1990)
UK,The King's Whore (1990)
India,Ek Doctor Ki Maut (1990)
USA,Courage Mountain (1990)
India,Michael Madana Kamarajan (1990)
USA,Fear (1990)
Greece,Singapore sling: O anthropos pou agapise ena ptoma (1990)
Australia,The Crossing (1990)
USA,Why Me? (1990)
Finland,The Match Factory Girl (1990)
Yugoslavia,Sveto mesto (1990)
USA,Kid (1990)
Japan,Solar Crisis (1990)
Poland,Porno (1990)
USA,Grim Prairie Tales: Hit the Trail... to Terror (1990)
UK,The Rainbow Thief (1990)
Japan,Dragon Ball Z: Tree of Might (1990)
Australia,The Big Steal (1990)
Hong Kong,Xiao ao jiang hu (1990)
Australia,Death in Brunswick (1990)
USA,The Local Stigmatic (1990)
Hong Kong,"No Retreat, No Surrender 3: Blood Brothers (1990)"
USA,Vital Signs (1990)
Australia,Prisoners of the Sun (1990)
China,Ju Dou (1990)
USA,Masters of Menace (1990)
USA,Mister Johnson (1990)
Italy,Malizia oggi (1990)
USA,Impulse (1990)
India,Khatarnaak (1990)
USA,Buried Alive (1990)
India,Deewana Mujh Sa Nahin (1990)
India,Ghayal (1990)
India,Baaghi: A Rebel for Love (1990)
USA,Naked Obsession (1990)
USA,Big Bad John (1990)
India,Aashiqui (1990)
UK,Everybody Wins (1990)
USA,China Cry: A True Story (1990)
Italy,Quest for the Mighty Sword (1990)
France,A Tale of Springtime (1990)
India,Kafan (1990)
Italy,Beyond Darkness (1990)
UK,The Garden (1990)
Belgium,Maniac Nurses (1990)
India,Thanedaar (1990)
USA,Getting Lucky (1990)
West Germany,The Nasty Girl (1990)
India,Police Public (1990)
USA,A Show of Force (1990)
India,Lady Tarzan (1990)
Hong Kong,Sai hak chin (1990)
India,Taqdeer Ka Tamasha (1990)
Egypt,Kaboria (1990)
East Germany,Forbidden Love (1990)
USA,Vice Academy Part 2 (1990)
India,Jurm (1990)
USA,Bad Girls from Mars (1990)
India,Dil (1990)
USA,Midnight Ride (1990)
India,Jagadeka Veerudu Athiloka Sundari (1990)
USA,To Sleep with Anger (1990)
Hong Kong,A Chinese Ghost Story II (1990)
USA,A Girl to Kill For (1990)
France,La désenchantée (1990)
France,Baby Blood (1990)
Switzerland,Journey of Hope (1990)
India,Tejaa (1990)
Germany,Werner - Beinhart! (1990)
Tunisia,Halfaouine: Boy of the Terraces (1990)
USA,Waiting for the Light (1990)
Spain,"¡Ay, Carmela! (1990)"
USA,Love Hurts (1990)
USA,Angel Town (1990)
Taiwan,Huo shao dao (1990)
USA,Legion of Iron (1990)
USA,Bright Angel (1990)
USA,Men of Respect (1990)
USA,Empire of the Dark (1990)
Netherlands,Wings of Fame (1990)
USA,Far Out Man (1990)
Greece,Despoina (1990)
USA,Terminal Bliss (1990)
USA,Denial (1990)
Soviet Union,Astenicheskiy sindrom (1990)
Japan,Heaven and Earth (1990)
USA,Little Ninjas (1990)
USA,Breakfast in Bed (1990)
Canada,Terminal City Ricochet (1990)
UK,I Bought a Vampire Motorcycle (1990)
USA,In the Cold of the Night (1990)
Germany,"Feuer, Eis & Dynamit (1990)"
Japan,Hanra honban: Joshidaisei bôkô-hen (1990)
South Korea,"Deuraegon bol: Ssawora Son O-gong, igyeora Son O-gong (1990)"
USA,Hollywood Hot Tubs 2: Educating Crystal (1990)
India,Chatriyan (1990)
Hong Kong,Liu jai yim taam (1990)
Poland,Dezha vyu (1990)
USA,Nobody's Perfect (1990)
France,Tom et Lola (1990)
Japan,OL renzoku rape: Kyonyû musaboru (1990)
USA,The End of Innocence (1990)
Switzerland,Naked Tango (1990)
India,Awaargi (1990)
Mexico,El agarratodo (1990)
Italy,Demonia (1990)
Italy,"11 Days, 11 Nights 2 (1990)"
UK,Strike It Rich (1990)
India,Kroadh (1990)
USA,Blue Desert (1990)
USA,Backstreet Dreams (1990)
India,Zahreelay (1990)
USA,Fertilize the Blaspheming Bombshell (1990)
Soviet Union,Semya vurdalakov (1990)
Iran,Shabhaye Zayendeh-Rood (1990)
USA,Jezebel's Kiss (1990)
India,Kondaveeti Donga (1990)
USA,Disturbed (1990)
Italy,Sapore di donna (1990)
UK,Chicago Joe and the Showgirl (1990)
Hong Kong,Dou sing (1990)
USA,Watchers II (1990)
USA,Body Chemistry (1990)
USA,Blood Salvage (1990)
USA,Cyber-C.H.I.C. (1990)
USA,Amazon (1990)
UK,Dancin' Thru the Dark (1990)
UK,King of the Wind (1990)
Yugoslavia,Destroying Angel (1990)
USA,The Revenger (1990)
France,Uranus (1990)
Japan,Renzoku rape: Hentai jikken (1990)
India,Kishen Kanhaiya (1990)
Philippines,Crocodile Jones: The Son of Indiana Dundee (1990)
Mexico,Pueblo de madera (1990)
France,Nouvelle vague (1990)
India,In Harihar Nagar (1990)
Peru,Full Fathom Five (1990)
Italy,Sangue negli abissi (1990)
USA,Diving In (1990)
USA,Shadowzone (1990)
Belgium,Koko Flanel (1990)
France,Daddy Nostalgia (1990)
UK,Cold Dog Soup (1990)
Hong Kong,Ga li la jiao (1990)
USA,Daddy's Dyin'... Who's Got the Will? (1990)
Italy,Lucrezia Borgia (1990)
Italy,Appuntamento in nero (1990)
Italy,Three for One (1990)
Italy,La maschera del demonio (1990)
India,Aag Ka Gola (1990)
USA,Metamorphosis: The Alien Factor (1990)
Hong Kong,Tin joek jau ching (1990)
USA,Pale Blood (1990)
Canada,Whispers (1990)
India,Awwal Number (1990)
USA,Sorority Girls and the Creature from Hell (1990)
USA,The Rain Killer (1990)
Italy,Killer Crocodile 2 (1990)
Italy,Grandi Cacciatori (1990)
UK,The March (1990)
USA,Invasion Force (1990)
USA,Aftershock (1990)
Soviet Union,Stalingrad (1990)
Argentina,City Life (1990)
Philippines,Hulihin si... Nardong Toothpick (1990)
USA,Object of Desire (1990)
Iran,Hamoun (1990)
Germany,Dr. M (1990)
India,Shaitani Ilaaka (1990)
USA,Pastime (1990)
Soviet Union,Taksi-Blyuz (1990)
USA,Dragonfight (1990)
USA,Thieves of Fortune (1990)
Sweden,"God afton, Herr Wallenberg (1990)"
USA,Wilding (1990)
Australia,Dead Sleep (1990)
India,Prema Khaidi (1990)
Italy,Night Killer (1990)
USA,Syngenor (1990)
India,Pyar Ka Devta (1990)
USA,Fatal Sky (1990)
India,Jeene Do (1990)
Canada,Back Stab (1990)
India,Yaadon Ka Mausam (1990)
India,Bahaar Aane Tak (1990)
Hong Kong,Happy Ghost IV (1990)
Denmark,Dance of the Polar Bears (1990)
India,Lekin... (1990)
Iran,Madar (1990)
USA,Club Fed (1990)
Italy,Le comiche (1990)
Peru,Ultra Warrior (1990)
Czechoslovakia,Skrivánci na niti (1990)
India,Muqaddar Ka Badshaah (1990)
UK,Living Doll (1990)
USA,Mirage (1990)
India,Maha-Sangram (1990)
